Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Cooper's Hawk,Accipiter cooperii,,Birds,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia",Not at Risk,,
Cope's Grey Treefrog,Hyla chrysoscelis,,Amphibians,Manitoba,Not at Risk,,
Copper Redhorse,Moxostoma hubbsi,,Fishes,Quebec,Endangered,Schedule 1,Endangered
Crooked-stem Aster,Symphyotrichum prenanthoides,,Vascular Plants,Ontario,Special Concern,Schedule 1,Threatened
Crumpled Tarpaper Lichen,Collema coniophilum,,Lichens,British Columbia,Threatened,No schedule,No Status
Cryptic Paw Lichen,Nephroma occultum,,Lichens,British Columbia,Special Concern,Schedule 1,Special Concern
Cucumber Tree,Magnolia acuminata,,Vascular Plants,Ontario,Endangered,Schedule 1,Endangered
Cusk,Brosme brosme,,Fishes,Atlantic Ocean,Endangered,No schedule,No Status
Cutlip Minnow,Exoglossum maxillingua,,Fishes,"Ontario, Quebec",Special Concern,No schedule,No Status
Cuvier's Beaked Whale,Ziphius cavirostris,,Mammals,"Pacific Ocean, Atlantic Ocean",Not at Risk,,
Dakota Skipper,Hesperia dacotae,,Arthropods,"Saskatchewan, Manitoba",Threatened,Schedule 1,Threatened
